price,Date
28.19,2022-04-06 21:45:00
28.12,2022-04-06 22:00:00
27.62,2022-04-06 22:15:00
27.71,2022-04-06 22:30:00
27.69,2022-04-06 22:45:00
27.74,2022-04-06 23:00:00
28.38,2022-04-06 23:15:00
29.11,2022-04-06 23:30:00
28.81,2022-04-06 23:45:00
29.03,2022-04-07 00:00:00
29.14,2022-04-07 00:15:00
28.55,2022-04-07 00:30:00
28.32,2022-04-07 00:45:00
28.38,2022-04-07 01:00:00
28.04,2022-04-07 01:15:00
27.97,2022-04-07 01:30:00
28.29,2022-04-07 01:45:00
28.41,2022-04-07 02:00:00
28.36,2022-04-07 02:15:00
28.62,2022-04-07 02:30:00
28.7,2022-04-07 02:45:00
28.46,2022-04-07 03:00:00
28.24,2022-04-07 03:15:00
28.44,2022-04-07 03:30:00
28.48,2022-04-07 03:45:00
28.58,2022-04-07 04:00:00
28.56,2022-04-07 04:15:00
28.89,2022-04-07 04:30:00
28.96,2022-04-07 04:45:00
29.25,2022-04-07 05:00:00
28.96,2022-04-07 05:15:00
28.81,2022-04-07 05:30:00
29.21,2022-04-07 05:45:00
29.19,2022-04-07 06:00:00
29.08,2022-04-07 06:15:00
29.24,2022-04-07 06:30:00
29.37,2022-04-07 06:45:00
29.28,2022-04-07 07:00:00
29.21,2022-04-07 07:15:00
28.92,2022-04-07 07:30:00
29.02,2022-04-07 07:45:00
29.23,2022-04-07 08:00:00
29.15,2022-04-07 08:15:00
28.95,2022-04-07 08:30:00
28.89,2022-04-07 08:45:00
28.56,2022-04-07 09:00:00
28.24,2022-04-07 09:15:00
28.35,2022-04-07 09:30:00
28.34,2022-04-07 09:45:00
28.38,2022-04-07 10:00:00
28.12,2022-04-07 10:15:00
28.18,2022-04-07 10:30:00
28.39,2022-04-07 10:45:00
28.42,2022-04-07 11:00:00
28.4,2022-04-07 11:15:00
28.55,2022-04-07 11:30:00
28.48,2022-04-07 11:45:00
28.77,2022-04-07 12:00:00
29.13,2022-04-07 12:15:00
28.63,2022-04-07 12:30:00
28.65,2022-04-07 12:45:00
28.38,2022-04-07 13:00:00
28.37,2022-04-07 13:15:00
28.65,2022-04-07 13:30:00
28.92,2022-04-07 13:45:00
28.85,2022-04-07 14:00:00
28.77,2022-04-07 14:15:00
28.53,2022-04-07 14:30:00
28.47,2022-04-07 14:45:00
28.14,2022-04-07 15:00:00
27.92,2022-04-07 15:15:00
28.0,2022-04-07 15:30:00
28.17,2022-04-07 15:45:00
28.45,2022-04-07 16:00:00
28.43,2022-04-07 16:15:00
28.86,2022-04-07 16:30:00
29.29,2022-04-07 16:45:00
30.25,2022-04-07 17:00:00
29.92,2022-04-07 17:15:00
29.9,2022-04-07 17:30:00
30.0,2022-04-07 17:45:00
30.52,2022-04-07 18:00:00
30.41,2022-04-07 18:15:00
29.85,2022-04-07 18:30:00
29.65,2022-04-07 18:45:00
29.65,2022-04-07 19:00:00
29.64,2022-04-07 19:15:00
29.33,2022-04-07 19:30:00
29.35,2022-04-07 19:45:00
29.47,2022-04-07 20:00:00
29.64,2022-04-07 20:15:00
30.31,2022-04-07 20:30:00
30.35,2022-04-07 20:45:00
30.07,2022-04-07 21:00:00
30.18,2022-04-07 21:15:00
30.17,2022-04-07 21:30:00
30.42,2022-04-07 21:45:00
30.21,2022-04-07 22:00:00
30.39,2022-04-07 22:15:00
30.28,2022-04-07 22:30:00
30.08,2022-04-07 22:45:00
29.97,2022-04-07 23:00:00
30.23,2022-04-07 23:15:00
30.12,2022-04-07 23:30:00
30.28,2022-04-07 23:45:00
30.9,2022-04-08 00:00:00
30.58,2022-04-08 00:15:00
30.22,2022-04-08 00:30:00
29.85,2022-04-08 00:45:00
29.9,2022-04-08 01:00:00
30.08,2022-04-08 01:15:00
30.31,2022-04-08 01:30:00
30.29,2022-04-08 01:45:00
30.22,2022-04-08 02:00:00
30.01,2022-04-08 02:15:00
30.12,2022-04-08 02:30:00
30.05,2022-04-08 02:45:00
30.01,2022-04-08 03:00:00
29.82,2022-04-08 03:15:00
29.76,2022-04-08 03:30:00
29.84,2022-04-08 03:45:00
30.0,2022-04-08 04:00:00
29.75,2022-04-08 04:15:00
29.71,2022-04-08 04:30:00
29.83,2022-04-08 04:45:00
29.75,2022-04-08 05:00:00
29.87,2022-04-08 05:15:00
29.77,2022-04-08 05:30:00
29.79,2022-04-08 05:45:00
29.73,2022-04-08 06:00:00
29.56,2022-04-08 06:15:00
29.58,2022-04-08 06:30:00
29.49,2022-04-08 06:45:00
29.4,2022-04-08 07:00:00
29.15,2022-04-08 07:15:00
28.94,2022-04-08 07:30:00
29.16,2022-04-08 07:45:00
29.31,2022-04-08 08:00:00
29.15,2022-04-08 08:15:00
29.14,2022-04-08 08:30:00
28.99,2022-04-08 08:45:00
29.02,2022-04-08 09:00:00
29.06,2022-04-08 09:15:00
28.79,2022-04-08 09:30:00
28.77,2022-04-08 09:45:00
28.52,2022-04-08 10:00:00
28.56,2022-04-08 10:15:00
28.52,2022-04-08 10:30:00
28.43,2022-04-08 10:45:00
28.36,2022-04-08 11:00:00
28.27,2022-04-08 11:15:00
28.19,2022-04-08 11:30:00
28.03,2022-04-08 11:45:00
28.17,2022-04-08 12:00:00
28.25,2022-04-08 12:15:00
28.24,2022-04-08 12:30:00
28.05,2022-04-08 12:45:00
27.94,2022-04-08 13:00:00
27.73,2022-04-08 13:15:00
27.82,2022-04-08 13:30:00
27.87,2022-04-08 13:45:00
28.11,2022-04-08 14:00:00
28.27,2022-04-08 14:15:00
28.12,2022-04-08 14:30:00
28.49,2022-04-08 14:45:00
28.34,2022-04-08 15:00:00
28.3,2022-04-08 15:15:00
28.18,2022-04-08 15:30:00
28.13,2022-04-08 15:45:00
28.0,2022-04-08 16:00:00
28.03,2022-04-08 16:15:00
27.93,2022-04-08 16:30:00
27.79,2022-04-08 16:45:00
27.25,2022-04-08 17:00:00
27.23,2022-04-08 17:15:00
26.71,2022-04-08 17:30:00
26.49,2022-04-08 17:45:00
26.35,2022-04-08 18:00:00
26.33,2022-04-08 18:15:00
26.58,2022-04-08 18:30:00
26.61,2022-04-08 18:45:00
26.8,2022-04-08 19:00:00
26.72,2022-04-08 19:15:00
26.57,2022-04-08 19:30:00
26.57,2022-04-08 19:45:00
26.58,2022-04-08 20:00:00
26.47,2022-04-08 20:15:00
26.48,2022-04-08 20:30:00
26.7,2022-04-08 20:45:00
26.73,2022-04-08 21:00:00
26.89,2022-04-08 21:15:00
26.42,2022-04-08 21:30:00
26.35,2022-04-08 21:45:00
26.23,2022-04-08 22:00:00
26.03,2022-04-08 22:15:00
25.8,2022-04-08 22:30:00
26.07,2022-04-08 22:45:00
26.06,2022-04-08 23:00:00
26.1,2022-04-08 23:15:00
26.08,2022-04-08 23:30:00
26.32,2022-04-08 23:45:00
25.88,2022-04-09 00:00:00
25.86,2022-04-09 00:15:00
26.0,2022-04-09 00:30:00
